1,Daughter,Pearl Jam,1,1993
2,Scar Tissue,Red Hot Chili Peppers,1,1999
3,Under The Bridge,Red Hot Chili Peppers,1,1992
4,Come As You Are,Nirvana,1,1992
5,Are You Gonna Go My Way,Lenny Kravitz,1,1993
6,Hotel Illness,The Black Crowes,1,1992
7,Sex And Candy,Marcy Playground,1,1997
8,What It's Like,Everlast,1,1998
9,Jealous Again,The Black Crowes,1,1990
10,Moneytalks,AC/DC,1,1990
11,When I Come Around,Green Day,1,1995
12,Losing My Religion,R.E.M.,1,1991
13,My Own Prison,Creed,2,1997
14,Hard To Handle,The Black Crowes,1,1990
15,Mysterious Ways,U2,1,1991
16,My Friends,Red Hot Chili Peppers,1,1995
17,Livin' On The Edge,Aerosmith,1,1993
18,She Talks To Angels,The Black Crowes,1,1991
19,Iris,Goo Goo Dolls,1,1998
20,Interstate Love Song,Stone Temple Pilots,1,1994
21,Better Man,Pearl Jam,1,1994
22,Bad Love,Eric Clapton,1,1989
23,What's My Age Again,Blink 182,2,1999
24,Far Behind,Candlebox,2,1994
25,Silent Lucidity,Queensryche,1,1991
26,Shine,Collective Soul,1,1994
27,All Apologies,Nirvana,1,1994
28,Lift Me Up,Yes,1,1991
29,3 AM,Matchbox 20,1,1997
30,Standing Outside A Broken Phone Booth With Money In My Hand,Primitive Radio Gods,1,1996
31,Black,Pearl Jam,1,1993
32,Tomorrow,Silverchair,1,1995
33,Smells Like Teen Spirit,Nirvana,1,1991
34,Jeremy,Pearl Jam,1,1992
35,Bullet With Butterfly Wings,The Smashing Pumpkins,1,1995
36,Heavy,Collective Soul,1,1999
37,One,U2,1,1992
38,Plush,Stone Temple Pilots,1,1993
39,If I Ever Lose My Faith In You,Sting,1,1993
40,Low,Cracker,4,1994
41,What It Takes,Aerosmith,1,1990
42,My Own Worst Enemy,Lit,1,1999
43,One,Creed,1,1999
44,1979,The Smashing Pumpkins,1,1995
45,Every Morning,Sugar Ray,1,1999
46,December,Collective Soul,1,1995
47,"Touch, Peel And Stand",Days Of The New,1,1997
48,If You Needed Somebody,Bad Company,1,1990
49,Inside Out,Eve 6,1,1998
50,Lightning Crashes,Live,1,1995
51,Mr. Jones,Counting Crows,1,1994
52,Doubleback,ZZ Top,1,1990
53,Pepper,Butthole Surfers,1,1996
54,Remedy,The Black Crowes,1,1992
55,Everything Zen,Bush,1,1995
56,Black Hole Sun,Soundgarden,1,1994
57,Good Riddance (Time Of Your Life),Green Day,1,1997
58,You Oughta Know,Alanis Morissette,1,1995
59,Trippin' On A Hole In A Paper Heart,Stone Temple Pilots,1,1996
60,Nookie,Limp Bizkit,1,1999
61,Fly Away,Lenny Kravitz,1,1998
62,One Headlight,The Wallflowers,1,1997
63,In The Meantime,Spacehog,1,1996
64,If You Could Only See,Tonic,1,1997
65,Push,Matchbox 20,1,1997
66,Suicide Blonde,INXS,1,1990
67,Nothing Else Matters,Metallica,3,1992
68,My Head's In Mississippi,ZZ Top,1,1990
69,Runaway Train,Soul Asylum,1,1993
70,Down,311,1,1996
71,The World I Know,Collective Soul,1,1996
72,Name,Goo Goo Dolls,1,1995
73,Coming Of Age,Damn Yankees,1,1990
