file_name,file_id,song_length,process_time,start_offset,cut_length,n_cuts,dbo_file_id,drums_file_id,vocals_file_id,bass_file_id,other_file_id,cut_time1,cut1_dbo_id,cut1_other_id,cut_time2,cut2_dbo_id,cut2_other_id,cut_time3,cut3_dbo_id,cut3_other_id
Oasis - Champagne Supernova.m4a,1692218005386,450.51,pending,30,10,3,1694282624878,1694284358002,1694279522172,1694285197902,1694278235188,65,,,237,,,341,,
No Doubt - Don't Speak.m4a,1692212540923,263.53,pending,30,10,3,1694283424653,1694282997510,1694283935360,1694274998101,1694274414675,75,,,99,,,233,,
Smash Mouth - All Star.m4a,1692682475871,200.37,pending,30,10,3,1694275748597,1694279430940,1694283423883,1694279842802,1694285449609,94,,,135,,,173,,
Øien - Gehenna 2023.m4a,1694177152386,180.71,pending,30,10,3,1694278946074,1694271208727,1694287869455,1694280090851,1694284564157,75,,,115,,,119,,
Icona Pop - I Love It (feat. Charli XCX).m4a,1694180571696,157.15,pending,30,10,3,1694283643050,1694285519739,1694284641471,1694287014680,1694285866894,50,,,67,,,69,,
Alan Walker - Faded.m4a,1694264384826,212.63,pending,30,10,3,1694281074940,1694286649478,1694280783898,1694280342861,1694286843793,97,,,104,,,151,,
Marshmello - Alone.m4a,1694280285200,273.8,pending,30,10,3,1694277335337,1694278708720,1694289568254,1694278072734,1694278446365,50,,,79,,,96,,
"DJane HouseKat, Blümchen & KYANU - Luv with U.m4a",1694177051485,153.71,pending,30,10,3,1694282214027,1694284783052,1694278482197,1694286661706,1694278701283,36,,,60,,,90,,
"마찬우, Mushroom & Jel7yz - Hold On to Me.m4a",1694174337225,149.57,pending,30,10,3,1694288771427,1694283311167,1694282725530,1694291540533,1694278519086,53,,,85,,,104,,
"Vengaboys - Boom, Boom, Boom, Boom!!.m4a",1694270814169,202.58,pending,30,10,3,1694286248752,1694288822026,1694289068738,1694279137820,1694290802062,88,,,168,,,169,,
