file_name,file_id,song_length,process_time,start_offset,cut_length,n_cuts,dbo_file_id,drums_file_id,vocals_file_id,bass_file_id,other_file_id,cut1_dbo_id,cut1_other_id,cut2_dbo_id,cut2_other_id,cut3_dbo_id,cut3_other_id,cut_time1,cut_time2,cut_time3
Oasis - Champagne Supernova.m4a,1692218005386,450.51,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,148,200,440
No Doubt - Don't Speak.m4a,1692212540923,263.53,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,98,153,220
Smash Mouth - All Star.m4a,1692682475871,200.37,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,125,127,140
Øien - Gehenna 2023.m4a,1694177152386,180.71,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,43,63,143
Icona Pop - I Love It (feat. Charli XCX).m4a,1694180571696,157.15,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,85,112,113
Alan Walker - Faded.m4a,1694264384826,212.63,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,60,145,177
Marshmello - Alone.m4a,1694280285200,273.8,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,86,97,244
"DJane HouseKat, Blümchen & KYANU - Luv with U.m4a",1694177051485,153.71,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,58,92,115
"마찬우, Mushroom & Jel7yz - Hold On to Me.m4a",1694174337225,149.57,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,30,135,139
"Vengaboys - Boom, Boom, Boom, Boom!!.m4a",1694270814169,202.58,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,53,73,99
