file_name,file_id,song_length,process_time,start_offset,cut_length,n_cuts,dbo_file_id,drums_file_id,vocals_file_id,bass_file_id,other_file_id,cut1_dbo_id,cut1_other_id,cut2_dbo_id,cut2_other_id,cut3_dbo_id,cut3_other_id,cut_time1,cut_time2,cut_time3
Oasis - Champagne Supernova.m4a,1698431008280,450.51,pending,30,10,3,1709857871516,1709855097404,1709855523784,1709856191792,1709855708513,1713426136640,1713423418990,1713426419340,1713422529336,1713426347988,1713425627443,171,310,350
No Doubt - Don't Speak.m4a,1698422258375,263.53,2024-12-02 17:19:39,30,10,3,1709860338769,1709863228747,1709854552596,1709863319933,1709855077244,1713431819496,1713428848731,1713434502112,1713429402370,1713430482117,1713431332528,35,48,243
Smash Mouth - All Star.m4a,1698499528050,200.37,2024-12-02 17:33:52,30,10,3,1709858517291,1709859590066,1709857398577,1709858308166,1709859742808,1713432318018,1713433374578,1713431702035,1713434305437,1713429538902,1713430431797,43,107,177
Øien - Gehenna 2023.m4a,1694177152386,180.71,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,87,113,153
Icona Pop - I Love It (feat. Charli XCX).m4a,1694180571696,157.15,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,100,110,147
Alan Walker - Faded.m4a,1694264384826,212.63,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,129,145,175
Marshmello - Alone.m4a,1694280285200,273.8,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,49,156,238
"DJane HouseKat, Blümchen & KYANU - Luv with U.m4a",1694177051485,153.71,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,86,103,117
"마찬우, Mushroom & Jel7yz - Hold On to Me.m4a",1694174337225,149.57,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,61,79,112
"Vengaboys - Boom, Boom, Boom, Boom!!.m4a",1694270814169,202.58,pending,30,10,3,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,51,55,66
"10,000 Maniacs - These Are Days.m4a",1698285212472,219.89,2024-12-02 16:38:22,30,10,3,1709899372621,1709886385207,1709889148193,1709898289806,1709889033029,1713431176385,1713434843791,1713432721404,1713430636212,1713433866397,1713432634943,75,91,97
311 - All Mixed Up.m4a,1698294448280,179.6,2024-12-02 16:38:27,30,10,3,1709890667251,1709896458886,1709902199769,1709883249191,1709904837177,1713431594128,1713430744359,1713430921370,1713430237375,1713432275220,1713428853047,37,86,114
